CÓDIGO_INSTITUCIÓN_PADRE,CÓDIGO_INSTITUCIÓN,NOMBRE_INSTITUCIÓN,CÓDIGO_SNIES_DEL_PROGRAMA,NOMBRE_DEL_PROGRAMA,CAMPO_AMPLIO,NIVEL_DE_FORMACIÓN,departamentoIE,MunicipioIE,Codigo EAFIT,NombrePrograma EAFIT,NIVEL_DE_FORMACIÓN EAFIT,CAMPO_AMPLIO_EAFIT,label,departamentoEAFIT,MunicipioEAFIT
1110,1110,universidad del cauca,102182,derecho,administracion de empresas y derecho,Universitario,cauca,santander de quilichao,7227,derecho,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1110,1110,universidad del cauca,102183,contaduria publica,administracion de empresas y derecho,Universitario,cauca,miranda,1246,contaduria publica,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1110,1110,universidad del cauca,102184,derecho,administracion de empresas y derecho,Universitario,cauca,miranda,7227,derecho,Universitario,administracion de empresas y derecho,1,antioquia,medellin
3703,3703,institucion universitaria escolme,102187,mercadeo,administracion de empresas y derecho,Universitario,antioquia,medellin,90979,mercadeo,Universitario,administracion de empresas y derecho,1,antioquia,medellin
3201,3201,unidades tecnologicas de santander,102199,administracion de empresas,administracion de empresas y derecho,Universitario,norte de santander,san jose de cucuta,1245,administracion de negocios,Universitario,administracion de empresas y derecho,1,antioquia,medellin
2719,2719,universidad catolica luis amigo,102206,ingenieria de sistemas,ingenieria industria y construccion,Universitario,antioquia,apartado,1248,ingenieria de sistemas,Universitario,ingenieria industria y construccion,1,antioquia,medellin
1728,1728,universidad sergio arboleda,102209,comercio internacional,administracion de empresas y derecho,Universitario,bogota d c,bogota d c,1244,negocios internacionales,Universitario,administracion de empresas y derecho,1,antioquia,medellin
4702,4702,fundacion de educacion superior san jose fessanjose,102215,ingenieria de sistemas,ingenieria industria y construccion,Universitario,bogota d c,bogota d c,1248,ingenieria de sistemas,Universitario,ingenieria industria y construccion,1,antioquia,medellin
4822,4822,corporacion escuela de artes y letras,102219,administracion de empresas,administracion de empresas y derecho,Universitario,bogota d c,bogota d c,1245,administracion de negocios,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1207,1207,universidad del tolima,10228,ingenieria de sistemas,ingenieria industria y construccion,Universitario,tolima,ibague,1248,ingenieria de sistemas,Universitario,ingenieria industria y construccion,1,antioquia,medellin
1704,1704,universidad santo tomas,102281,negocios internacionales,administracion de empresas y derecho,Universitario,antioquia,medellin,1244,negocios internacionales,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1217,1217,universidad de sucre,102287,contaduria publica,administracion de empresas y derecho,Universitario,sucre,sincelejo,1246,contaduria publica,Universitario,administracion de empresas y derecho,1,antioquia,medellin
2749,2749,institucion universitaria salazar y herrera,102289,comunicacion organizacional,ciencias sociales periodismo e informacion,Universitario,antioquia,medellin,17691,comunicacion social,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
1118,1118,universidad tecnologica del choco diego luis cordoba,102290,biologia,ciencias naturales matematicas y estadistica,Universitario,choco,quibdo,101947,biologia,Universitario,ciencias naturales matematicas y estadistica,1,antioquia,medellin
1704,1705,universidad santo tomas,102293,administracion de empresas,administracion de empresas y derecho,Universitario,santander,bucaramanga,1245,administracion de negocios,Universitario,administracion de empresas y derecho,1,antioquia,medellin
2847,2847,universidad de investigacion y desarrollo udi,102300,derecho,administracion de empresas y derecho,Universitario,santander,bucaramanga,7227,derecho,Universitario,administracion de empresas y derecho,1,antioquia,medellin
3817,3817,corporacion universitaria autonoma de narino aunar,102322,contaduria publica,administracion de empresas y derecho,Universitario,narino,pasto,1246,contaduria publica,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1735,1735,universidad manuela beltran umb,102324,administracion de empresas,administracion de empresas y derecho,Universitario,bogota d c,bogota d c,1245,administracion de negocios,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1701,1702,pontificia universidad javeriana,10233,economia,ciencias sociales periodismo e informacion,Universitario,valle del cauca,santiago de cali,3182,economia,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
2849,2849,corporacion universitaria autonoma del cauca,102377,ingenieria de sistemas informaticos,ingenieria industria y construccion,Universitario,cauca,popayan,1248,ingenieria de sistemas,Universitario,ingenieria industria y construccion,1,antioquia,medellin
2728,2728,fundacion universitaria del area andina,102388,contaduria publica,administracion de empresas y derecho,Universitario,bogota d c,bogota d c,1246,contaduria publica,Universitario,administracion de empresas y derecho,1,antioquia,medellin
3703,3703,institucion universitaria escolme,102391,negocios internacionales,administracion de empresas y derecho,Universitario,antioquia,medellin,1244,negocios internacionales,Universitario,administracion de empresas y derecho,1,antioquia,medellin
