Codigo EAFIT,Nombre Programa EAFIT,ESTADO_PROGRAMA,CAMPO_AMPLIO,NIVEL_DE_FORMACIÓN
53100,especializacion en administracion de riesgos y seguros,inactivo,administracion de empresas y derecho,Especialización universitaria
15758,especializacion en arbitraje,inactivo,administracion de empresas y derecho,Especialización universitaria
1260,especializacion en auditoria de sistemas,inactivo,tecnologias de la informacion y la comunicacion tic,Especialización universitaria
4835,especializacion en ciencias de la tierra y medio ambiente,inactivo,ciencias naturales matematicas y estadistica,Especialización universitaria
53664,especializacion en comunicacion politica,inactivo,ciencias sociales periodismo e informacion,Especialización universitaria
10222,especializacion en contratacion del sector publico,inactivo,administracion de empresas y derecho,Especialización universitaria
3233,especializacion en control organizacional,activo,administracion de empresas y derecho,Especialización universitaria
104300,especializacion en control organizacional,activo,administracion de empresas y derecho,Especialización universitaria
118233,especializacion en derecho contractual,activo,administracion de empresas y derecho,Especialización universitaria
118146,especializacion en derecho de las familias,activo,administracion de empresas y derecho,Especialización universitaria
107958,especializacion en derecho financiero y bursatil,activo,administracion de empresas y derecho,Especialización universitaria
19368,especializacion en derecho penal,activo,administracion de empresas y derecho,Especialización universitaria
53968,especializacion en derecho publico,activo,administracion de empresas y derecho,Especialización universitaria
107286,especializacion en derecho societario,activo,administracion de empresas y derecho,Especialización universitaria
103708,especializacion en derecho urbano,activo,administracion de empresas y derecho,Especialización universitaria
8514,especializacion en desarrollo de software,activo,tecnologias de la informacion y la comunicacion tic,Especialización universitaria
52303,especializacion en desarrollo de software,inactivo,tecnologias de la informacion y la comunicacion tic,Especialización universitaria
115923,especializacion en direccion de operaciones y logistica,activo,ingenieria industria y construccion,Especialización universitaria
53913,especializacion en diseno de materiales,inactivo,ingenieria industria y construccion,Especialización universitaria
53729,especializacion en diseno de procesos quimicos y biotecnologicos,activo,ingenieria industria y construccion,Especialización universitaria
54697,especializacion en diseno integrado de sistemas tecnicos,activo,ingenieria industria y construccion,Especialización universitaria
8707,especializacion en diseno mecanico,activo,ingenieria industria y construccion,Especialización universitaria
91073,especializacion en diseno vial e ingenieria de pavimentos,activo,ingenieria industria y construccion,Especialización universitaria
